"ZUPANIJA_MBR";"GROP_MBR";"GROP_NAZIV";"GROP_VRSTA";"NASELJE_MBR";"NASELJE_NAZIV";"ULICA_MBR";"ULICA_NAZIV"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480016";"ULICA N.Š. ZRINSKOG"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480019";"ULICA PETRA SVAČIĆA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480022";"ULICA TINA UJEVIĆA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480026";"VELIKA PUSTARA"
"14";"27";"ANTUNOVAC";"2";"248";"ANTUNOVAC";"2480025";"VRBIK"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560001";"GAJSKA ULICA"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560003";"MALA ULICA"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560005";"OSLOBSKA ULICA"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560006";"POLJANSKA ULICA"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560007";"ŠKOLSKA ULICA"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560002";"ULICA HRVATSKIH BRANITELJA"
"11";"2313";"LIPIK";"1";"256";"ANTUNOVAC";"2560004";"ULICA MATIJE GUPCA"
"18";"4979";"VIŠNJAN - VISIGNANO";"2";"264";"ANŽIĆI";"2640001";"ANŽIĆI"
"5";"2445";"LUDBREG";"1";"272";"APATIJA";"2720001";"APATIJA"
"6";"2143";"KRIŽEVCI";"1";"299";"APATOVEC";"2990001";"BREŽANCI"
"6";"2143";"KRIŽEVCI";"1";"299";"APATOVEC";"2990002";"CARINE"
"6";"2143";"KRIŽEVCI";"1";"299";"APATOVEC";"2990003";"LIPOVEC"
"6";"2143";"KRIŽEVCI";"1";"299";"APATOVEC";"2990004";"MARTINCI"
"16";"2950";"NIJEMCI";"2";"302";"APŠEVCI";"3020001";"FRANKOPANSKA"
"16";"2950";"NIJEMCI";"2";"302";"APŠEVCI";"3020002";"KRALJA TOMISLAVA"
"16";"2950";"NIJEMCI";"2";"302";"APŠEVCI";"3020003";"LJUDEVITA GAJA"
"16";"2950";"NIJEMCI";"2";"302";"APŠEVCI";"3020004";"RUDINA BIDANJ"
"16";"2950";"NIJEMCI";"2";"302";"APŠEVCI";"3020005";"RUDINA PAVKARA"
"4";"4006";"SLUNJ";"1";"329";"ARAPOVAC";"3290001";"ARAPOVAC"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370005";"BELASOVA ULICA"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370001";"CESTA DOMOVINSKE ZAHVALNOSTI"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370004";"KLARIĆEVA ULICA"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370009";"MIŠINA ULICA"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370008";"PUT DIONICA"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370007";"PUT KRČIĆA"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370002";"PUT PALANDARE"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370003";"PUT VLAKA"
"17";"4634";"TROGIR";"1";"337";"ARBANIJA";"3370006";"ULJEVIĆA ULICA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450002";"BALOTINOVA ULICA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450003";"CESTA JOSIPA JOVIĆA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450004";"FRA TADIJE LEDIĆA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450005";"GORČINA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450006";"GRADINA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450007";"JURČEVIĆI"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450008";"MALA VINICA"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450009";"OBOR SVETOGA JURE"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450010";"PERKOVIĆI"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450011";"PODJARAM"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450012";"PROGON"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450013";"SVIBIĆ"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450016";"ULICA KRSTAČE"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450014";"ULICA PETRA ŽAJE"
"17";"507";"CISTA PROVO";"2";"345";"ARŽANO";"3450015";"ULICA SVETOGA NIKOLE"
"11";"3344";"PLETERNICA";"1";"353";"AŠIKOVCI";"3530001";"AŠIKOVCI"
"1";"5444";"POKUPSKO";"2";"361";"AUGUŠTANOVEC";"3610001";"AUGUŠTANOVEC"
"18";"5975";"KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA";"2";"396";"BABIĆI";"3960001";"BABIĆI"
"18";"4685";"UMAG - UMAGO";"1";"388";"BABIĆI";"3880001";"BABIĆI - BABICI"
"18";"4685";"UMAG - UMAGO";"1";"388";"BABIĆI";"3880002";"BARIĆI - BARICI"
"18";"4685";"UMAG - UMAGO";"1";"388";"BABIĆI";"3880003";"BIRIBACI - BIRIBAZI"
"18";"4685";"UMAG - UMAGO";"1";"388";"BABIĆI";"3880004";"DOLINCI - DOLINZI"
"18";"4685";"UMAG - UMAGO";"1";"388";"BABIĆI";"3880005";"GORNJI BABIĆI - BABICI DI SOPRA"
